airlineFsCode,directs,allOntimeCumulative,allStars,delayObservations,ontimePercent,delayStandardDeviation,codeshares,delayMax,arrivalAirportFsCode,delayMin,allDelayCumulative,allDelayStars,allOntimeStars,late45,observations,diverted,ontime,flightNumber,delayMean,late15,cancelled,late30,departureAirportFsCode,req_carrier,req_flightNumber,req_origin,req_dest
EV,0,0.69150001,3,0,1,0,0,0,DTW,0,0.5,2.5,3.5,0,1,0,1,5595,0,0,0,0,PVD,ASQ,5595,ATL,MMMY
EV,0,0.69150001,3,21,0.82692307,26.261143,0,80,MTY,0,0.5,2.5,3.5,5,52,0,43,5595,24,3,0,1,ATL,ASQ,5595,ATL,MMMY
AA,0,0,0.1,37,0.67741936,48.770069,0,242,ATL,0,0.044599999,0.2,0,10,62,0,42,2513,36,7,0,3,LAX,AAL,2513,KLAX,KATL
DL,0,0.42070001,2.95,7,0.77777779,24.494898,0,68,SFO,0,0.75800002,3.8,2.0999999,1,9,0,7,907,14,1,0,0,SEA,DAL,907,JAN,ATL
DL,0,0.84130001,3.75,6,0.88,18.250114,0,52,RDU,0,0.65539998,3.3,4.1999998,1,25,0,22,907,18,2,0,0,DTW,DAL,907,JAN,ATL
DL,0,0.97719997,4.25,2,1,2.1213202,0,8,CLT,5,0.72570002,3.5999999,4.9000001,0,15,0,15,907,6,0,0,0,MSP,DAL,907,JAN,ATL
DL,0,0.69150001,3,0,1,0,0,0,DTW,0,0.5,2.5,3.5,0,1,0,1,907,0,0,0,0,PWM,DAL,907,JAN,ATL
DL,0,1,4.4499998,3,1,5.2915025,0,10,DTW,0,0.7881,3.9000001,5,0,25,0,25,907,4,0,0,0,RDU,DAL,907,JAN,ATL
DL,0,0.9332,3.5999999,0,1,0,0,0,ATL,0,0.5,2.5,4.6999998,0,9,0,9,907,0,0,0,0,JAN,DAL,907,JAN,ATL
DL,0,0.9332,3.5999999,0,1,0,0,0,JAN,0,0.5,2.5,4.6999998,0,9,0,9,907,0,0,0,0,ATL,DAL,907,JAN,ATL
QR,0,0.9192,2.6500001,14,0.86885244,52.163521,0,199,ATL,0,0.1357,0.69999999,4.5999999,4,61,0,53,755,36,3,0,1,DOH,QTR,755,OTHH,KATL
DL,0,0.98210001,4.8000002,13,0.91666669,7.7608485,0,24,NAS,0,0.9332,4.6999998,4.9000001,0,48,0,44,337,6,2,2,0,ATL,DAL,337,ATL,MYNN
DL,0,0.88489997,3.05,14,0.87179488,49.767151,0,163,ATL,0,0.34459999,1.7,4.4000001,2,39,0,34,54,28,3,0,0,IAD,DAL,54,KATL,DNMM
DL,0,0.46020001,1.4,2,0.80000001,10.606602,0,70,ATL,55,0.096799999,0.5,2.3,2,10,0,8,54,62,0,0,0,IAH,DAL,54,KATL,DNMM
DL,0,0.9192,2.9000001,5,0.89999998,51.847855,0,127,LOS,1,242,1.2,4.5999999,1,30,0,27,54,36,1,0,1,ATL,DAL,54,KATL,DNMM
5X,0,0.017899999,1,1,0,0,0,34,DFW,34,0.38209999,1.9,0.1,0,1,0,0,9612,34,0,0,1,SDF,UPS,9612,ATL,SDF
5X,0,0.69150001,3,0,1,0,0,0,SDF,0,0.5,2.5,3.5,0,1,0,1,9612,0,0,0,0,ORD,UPS,9612,ATL,SDF
5X,0,0.017899999,1.5,1,0,0,0,16,PHL,16,0.57929999,2.9000001,0.1,0,1,0,0,9612,16,1,0,0,ORD,UPS,9612,ATL,SDF
5X,0,0.69150001,3.3,1,1,0,0,14,RFD,14,0.61790001,3.0999999,3.5,0,1,0,1,9612,14,0,0,0,ORF,UPS,9612,ATL,SDF
5X,0,0.017899999,1.4,1,0,0,0,23,ONT,23,0.53979999,2.7,0.1,0,1,0,0,9612,23,1,0,0,PHX,UPS,9612,ATL,SDF
5X,0,0.69150001,3,0,1,0,0,0,SDF,0,0.5,2.5,3.5,0,1,0,1,9612,0,0,0,0,ROA,UPS,9612,ATL,SDF
5X,0,0.69150001,3,0,1,0,0,0,ANC,0,0.5,2.5,3.5,0,1,0,1,9612,0,0,0,0,ATL,UPS,9612,ATL,SDF
YV,0,0.7881,3.7,1,1,0,0,4,IAH,4,0.69150001,3.5,3.9000001,0,2,0,2,6273,4,0,0,0,CVG,ASH,6273,KATL,KIAH
YV,0,0.69150001,3.6500001,9,0.83999997,7.7477593,0,29,BDL,1,0.75800002,3.8,3.5,0,25,0,21,6273,14,4,0,0,IAD,ASH,6273,KATL,KIAH
YV,0,0.88489997,3.3499999,5,0.89999998,38.745323,0,90,ELP,0,0.46020001,2.3,4.4000001,1,20,0,18,6273,25,0,0,1,IAH,ASH,6273,KATL,KIAH
YV,0,0.97719997,4.25,1,1,0,0,0,IAH,0,0.72570002,3.5999999,4.9000001,0,15,0,15,6273,0,0,0,0,ATL,ASH,6273,KATL,KIAH
